ts,product_id,price
2026-01-01T00:00:00Z,BTC-USD,68271.03
2026-01-01T00:00:00Z,ETH-USD,2368.14
2026-01-01T01:00:00Z,BTC-USD,67921.19
2026-01-01T01:00:00Z,ETH-USD,2350.32
2026-01-01T02:00:00Z,BTC-USD,68356.68
2026-01-01T02:00:00Z,ETH-USD,2363.53
2026-01-01T03:00:00Z,BTC-USD,69061.06
2026-01-01T03:00:00Z,ETH-USD,2336.4
2026-01-01T04:00:00Z,BTC-USD,68960.79
2026-01-01T04:00:00Z,ETH-USD,2305.71
2026-01-01T05:00:00Z,BTC-USD,68510.2
2026-01-01T05:00:00Z,ETH-USD,2307.22
2026-01-01T06:00:00Z,BTC-USD,67733.52
2026-01-01T06:00:00Z,ETH-USD,2288.23
2026-01-01T07:00:00Z,BTC-USD,68021.2
2026-01-01T07:00:00Z,ETH-USD,2292.35
2026-01-01T08:00:00Z,BTC-USD,67579.81
2026-01-01T08:00:00Z,ETH-USD,2299.43
2026-01-01T09:00:00Z,BTC-USD,68136.38
2026-01-01T09:00:00Z,ETH-USD,2267.68
2026-01-01T10:00:00Z,BTC-USD,68691.38
2026-01-01T10:00:00Z,ETH-USD,2281.84
2026-01-01T11:00:00Z,BTC-USD,68451.39
2026-01-01T11:00:00Z,ETH-USD,2260.18
2026-01-01T12:00:00Z,BTC-USD,69268.04
2026-01-01T12:00:00Z,ETH-USD,2250.6
2026-01-01T13:00:00Z,BTC-USD,68597.43
2026-01-01T13:00:00Z,ETH-USD,2225.41
2026-01-01T14:00:00Z,BTC-USD,69227.66
2026-01-01T14:00:00Z,ETH-USD,2233.21
2026-01-01T15:00:00Z,BTC-USD,69793.82
2026-01-01T15:00:00Z,ETH-USD,2249.21
2026-01-01T16:00:00Z,BTC-USD,69891.93
2026-01-01T16:00:00Z,ETH-USD,2281.19
2026-01-01T17:00:00Z,BTC-USD,69714.64
2026-01-01T17:00:00Z,ETH-USD,2285.78
2026-01-01T18:00:00Z,BTC-USD,70323.6
2026-01-01T18:00:00Z,ETH-USD,2294.77
2026-01-01T19:00:00Z,BTC-USD,70994.68
2026-01-01T19:00:00Z,ETH-USD,2301.07
2026-01-01T20:00:00Z,BTC-USD,71393.26
2026-01-01T20:00:00Z,ETH-USD,2271.91
2026-01-01T21:00:00Z,BTC-USD,70943.3
2026-01-01T21:00:00Z,ETH-USD,2259.17
2026-01-01T22:00:00Z,BTC-USD,70233.5
2026-01-01T22:00:00Z,ETH-USD,2242.8
2026-01-01T23:00:00Z,BTC-USD,69568.04
2026-01-01T23:00:00Z,ETH-USD,2229.48
2026-01-02T00:00:00Z,BTC-USD,69838.81
2026-01-02T00:00:00Z,ETH-USD,2221.85
2026-01-02T01:00:00Z,BTC-USD,69647.07
2026-01-02T01:00:00Z,ETH-USD,2204.25
2026-01-02T02:00:00Z,BTC-USD,69276.16
2026-01-02T02:00:00Z,ETH-USD,2233.26
2026-01-02T03:00:00Z,BTC-USD,69567.18
2026-01-02T03:00:00Z,ETH-USD,2241.44
2026-01-02T04:00:00Z,BTC-USD,69030.01
2026-01-02T04:00:00Z,ETH-USD,2257.46
2026-01-02T05:00:00Z,BTC-USD,68483.65
2026-01-02T05:00:00Z,ETH-USD,2250.7
